k,mean
1.1.2.2.1.2.3.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2,1.2145321849575041
1.1.2.2.1.2.3.3.1.1.2.2.1.2.1.2.2.1.2.2.2.2,1.3740017739545574
1.1.2.2.1.2.3.3.1.1.2.2.1.2.1.2.2.2.2.2.2.2,1.2466254124883656
1.1.2.2.1.2.3.3.1.1.2.2.2.2.1.2.2.2.2.2.2.2,1.3429992869330918
1.1.2.2.1.2.3.3.2.1.2.2.1.2.1.2.2.1.2.2.2.2,1.3584006435963158
1.1.2.2.1.2.3.3.2.1.2.2.1.2.1.2.2.2.2.2.2.2,1.2458621405803605
1.1.2.2.1.2.3.3.2.1.2.2.2.2.1.2.2.2.2.2.2.2,1.310012453093301
1.1.2.2.1.2.3.3.2.1.2.2.2.2.2.2.2.2.2.2.2.2,2.3206026733414444
1.1.2.2.2.1.2.2.2.1.2.2.2.1.2.2.2.2.2.2.2.2,1.0862334269224463
1.1.2.2.2.1.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2,2.0941776333298465
1.1.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2,2.3908504047182877
1.1.2.2.2.1.2.3.2.1.2.2.2.2.2.2.2.2.2.2.2.2,2.829977367221876
1.1.2.2.2.1.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2,3.0236380206065863
1.1.2.2.2.1.3.2.2.1.2.2.2.1.2.1.2.1.2.2.2.2,0.9676473666390122
1.1.2.2.2.1.3.2.2.1.2.2.2.1.2.1.2.2.2.2.2.2,0.89699785938704
1.1.2.2.2.1.3.2.2.1.2.2.2.1.2.2.2.2.2.2.2.2,1.0362828519857832
1.1.2.2.2.1.3.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2,1.1828047270564712
1.1.2.2.2.1.3.3.1.1.2.2.1.2.1.2.2.1.2.2.2.2,1.3491069661260326
1.1.2.2.2.1.3.3.1.1.2.2.1.2.1.2.2.2.2.2.2.2,1.2111133905336653
1.1.2.2.2.1.3.3.1.1.2.2.2.2.1.2.2.2.2.2.2.2,1.3136193466536459
1.1.2.2.2.1.3.3.2.1.2.2.1.2.1.2.2.1.2.2.2.2,1.3526628637488167
1.1.2.2.2.1.3.3.2.1.2.2.1.2.1.2.2.2.2.2.2.2,1.2313896767248804
